w_pass_epa,w_rush_epa,w_success,w_explosive,w_point_diff,w_pyth_edge,w_turnover,config_name,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,prior_wins_mae,warps_rmse,pyth_rmse,prior_wins_rmse,n,years
0.15740744229846848,0.09675953850285506,0.14220554554358594,0.029611113099257895,0.21493120714257874,0.31975867826700344,0.039326475146250484,random_0224,0.65,0.0,6.5,2.3095357375192993,2.4003287119947974,2.72972972972973,2.76990300272632,2.9640929337936237,3.4242116209757283,223,2015-2021
0.14866782204747975,0.1735409255977194,0.16753826545167003,0.01852541416400079,0.40534155591495924,0.05960466179630935,0.02678135502786135,random_0159,0.65,0.0,6.5,2.309762343148329,2.4003287119947974,2.72972972972973,2.7724542122092397,2.9640929337936237,3.4242116209757283,223,2015-2021
0.13255076497023385,0.04032952164612531,0.3804517881839038,0.1644333594186061,0.09925192372004443,0.11617397060195839,0.06680867145912794,random_0046,0.65,0.0,6.5,2.3098020507221206,2.4003287119947974,2.72972972972973,2.7667049014846605,2.9640929337936237,3.4242116209757283,223,2015-2021
0.10382989864544251,0.06935382171273903,0.1551915487557286,0.08010319739468337,0.2482862770515243,0.2774431744330427,0.06579208200683948,random_0193,0.65,0.0,6.5,2.3098584878074706,2.4003287119947974,2.72972972972973,2.770352980463622,2.9640929337936237,3.4242116209757283,223,2015-2021
0.11183129171758477,0.05108611997618122,0.23761991562715518,0.1300726458647576,0.15194711121634394,0.241352395907913,0.07609051969006429,random_0299,0.65,0.0,6.5,2.3099742308956253,2.4003287119947974,2.72972972972973,2.769374445867437,2.9640929337936237,3.4242116209757283,223,2015-2021
0.20710773297856394,0.09464304900075164,0.12678873097708376,0.0021418215100524464,0.36078098186294855,0.1839586789285812,0.024579004742018525,random_0001,0.65,0.0,6.5,2.310050130775517,2.4003287119947974,2.72972972972973,2.7711883285444805,2.9640929337936237,3.4242116209757283,223,2015-2021
0.04258922264889395,0.041105825091998824,0.38612867429102415,0.19519920213021155,0.12142950688437433,0.13053877676573586,0.08300879218776136,random_0423,0.65,0.0,6.5,2.310107191583572,2.4003287119947974,2.72972972972973,2.767528422389198,2.9640929337936237,3.4242116209757283,223,2015-2021
0.20944003207566986,0.041784814681157745,0.15519825100131676,0.04036678964256799,0.3683725028795915,0.13318660584756176,0.05165100387213428,random_0480,0.65,0.0,6.5,2.3107589762696144,2.4003287119947974,2.72972972972973,2.770896954190872,2.9640929337936237,3.4242116209757283,223,2015-2021
0.06321875167210077,0.13869818622486524,0.10837834220365647,0.055652280289800286,0.030133960967607194,0.551562757923867,0.05235572071810304,random_0172,0.65,0.0,6.5,2.3109722710378415,2.4003287119947974,2.72972972972973,2.77382157679566,2.9640929337936237,3.4242116209757283,223,2015-2021
0.18370049851709427,0.07928333104843857,0.20984517122121538,0.007273646595215684,0.008938172296580348,0.406090895306836,0.10486828501461966,random_0041,0.65,0.0,6.5,2.311112043648974,2.4003287119947974,2.72972972972973,2.76748014280262,2.9640929337936237,3.4242116209757283,223,2015-2021
0.11191359743320002,0.11215822421231732,0.3520543193550448,0.15842411343707988,0.06695764430117884,0.1585306047691132,0.039961496492066095,random_0118,0.65,0.0,6.5,2.3113159537705283,2.4003287119947974,2.72972972972973,2.770024360921742,2.9640929337936237,3.4242116209757283,223,2015-2021
0.016052611560041518,0.24216929348795635,0.303486373235395,0.03180417382322901,0.12666513275598268,0.15936001702059255,0.12046239811680294,random_0333,0.65,0.0,6.5,2.311339009842154,2.4003287119947974,2.72972972972973,2.7754741758984287,2.9640929337936237,3.4242116209757283,223,2015-2021
0.06169826457811325,0.0651478210275122,0.21663406671654395,0.16810435041940794,0.3614640718806753,0.10585370344206982,0.021097721935677424,random_0012,0.65,0.0,6.5,2.311377817439792,2.4003287119947974,2.72972972972973,2.7722848564037537,2.9640929337936237,3.4242116209757283,223,2015-2021
0.18819689093360892,0.07292198857085978,0.3257815498939688,0.045971647251438055,0.08682212760008212,0.12302098715713447,0.15728480859290786,random_0098,0.65,0.0,6.5,2.3118761647083175,2.4003287119947974,2.72972972972973,2.7674691683143284,2.9640929337936237,3.4242116209757283,223,2015-2021
0.10853567042414748,0.086710308485064,0.11627197704768366,0.0022478662940846757,0.252961611439224,0.3308532980421222,0.10241926826767395,random_0113,0.65,0.0,6.5,2.3119427138332913,2.4003287119947974,2.72972972972973,2.771534965612413,2.9640929337936237,3.4242116209757283,223,2015-2021
0.11655872237446237,0.003922727224701993,0.33754829589819996,0.015344354323824397,0.13789141227073196,0.17640693717320563,0.2123275507348737,random_0466,0.65,0.0,6.5,2.31197269462461,2.4003287119947974,2.72972972972973,2.7653467577514683,2.9640929337936237,3.4242116209757283,223,2015-2021
0.10773180028644731,0.016563342506758998,0.2256963123584022,0.16136439196697494,0.27921434385262045,0.12073006722160298,0.08869974180719299,random_0072,0.65,0.0,6.5,2.3121711434430474,2.4003287119947974,2.72972972972973,2.7728592616960825,2.9640929337936237,3.4242116209757283,223,2015-2021
0.3790066182314776,0.008999653035634152,0.3944924969047157,0.06273163017570932,0.015483085043262375,0.09632113185538023,0.042965384753820716,random_0217,0.65,0.0,6.5,2.312273270340126,2.4003287119947974,2.72972972972973,2.7668299230531743,2.9640929337936237,3.4242116209757283,223,2015-2021
