regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.75,0.3,7.5,2.3537855931574714,2.5877737034133133,2.8815977175463625,2.852671710801226,702,2000-2021
0.7,0.0,7.0,2.353872821253446,2.5877737034133133,2.8815977175463625,2.8526907149692224,702,2000-2021
0.7,0.1,7.0,2.353872821253446,2.5877737034133133,2.8815977175463625,2.8526907149692224,702,2000-2021
0.7,0.15,7.0,2.353872821253446,2.5877737034133133,2.8815977175463625,2.8526907149692224,702,2000-2021
0.7,0.2,7.0,2.353872821253446,2.5877737034133133,2.8815977175463625,2.8526907149692224,702,2000-2021
0.7,0.25,7.0,2.353872821253446,2.5877737034133133,2.8815977175463625,2.8526907149692224,702,2000-2021
0.7,0.3,7.0,2.353872821253446,2.5877737034133133,2.8815977175463625,2.8526907149692224,702,2000-2021
0.65,0.0,6.5,2.3539793066536068,2.5877737034133133,2.8815977175463625,2.852715592899829,702,2000-2021
0.65,0.1,6.5,2.3539793066536068,2.5877737034133133,2.8815977175463625,2.852715592899829,702,2000-2021
0.65,0.15,6.5,2.3539793066536068,2.5877737034133133,2.8815977175463625,2.852715592899829,702,2000-2021
0.65,0.2,6.5,2.3539793066536068,2.5877737034133133,2.8815977175463625,2.852715592899829,702,2000-2021
0.65,0.25,6.5,2.3539793066536068,2.5877737034133133,2.8815977175463625,2.852715592899829,702,2000-2021
0.65,0.3,6.5,2.3539793066536068,2.5877737034133133,2.8815977175463625,2.852715592899829,702,2000-2021
0.6,0.0,6.0,2.354111383056192,2.5877737034133133,2.8815977175463625,2.8527489424309476,702,2000-2021
0.6,0.1,6.0,2.354111383056192,2.5877737034133133,2.8815977175463625,2.8527489424309476,702,2000-2021
0.6,0.15,6.0,2.354111383056192,2.5877737034133133,2.8815977175463625,2.8527489424309476,702,2000-2021
0.6,0.2,6.0,2.354111383056192,2.5877737034133133,2.8815977175463625,2.8527489424309476,702,2000-2021
0.6,0.25,6.0,2.354111383056192,2.5877737034133133,2.8815977175463625,2.8527489424309476,702,2000-2021
0.6,0.3,6.0,2.354111383056192,2.5877737034133133,2.8815977175463625,2.8527489424309476,702,2000-2021
0.55,0.0,5.5,2.3542782567491445,2.5877737034133133,2.8815977175463625,2.852794931816908,702,2000-2021
0.55,0.1,5.5,2.3542782567491445,2.5877737034133133,2.8815977175463625,2.852794931816908,702,2000-2021
0.55,0.15,5.5,2.3542782567491445,2.5877737034133133,2.8815977175463625,2.852794931816908,702,2000-2021
0.55,0.2,5.5,2.3542782567491445,2.5877737034133133,2.8815977175463625,2.852794931816908,702,2000-2021
0.55,0.25,5.5,2.3542782567491445,2.5877737034133133,2.8815977175463625,2.852794931816908,702,2000-2021
0.55,0.3,5.5,2.3542782567491445,2.5877737034133133,2.8815977175463625,2.852794931816908,702,2000-2021
0.7,0.0,7.5,2.35720958417563,2.5877737034133133,2.8815977175463625,2.854323279179526,702,2000-2021
0.7,0.1,7.5,2.35720958417563,2.5877737034133133,2.8815977175463625,2.854323279179526,702,2000-2021
0.7,0.15,7.5,2.35720958417563,2.5877737034133133,2.8815977175463625,2.854323279179526,702,2000-2021
